ID,Crime_Category,Pending_Previous_Year,Cases_Reported,Cases_Reopened,Total_Cases_for_Investigation,Not_Investigated,Transferred,Withdrawn,FR_Non_Cognizable,FR_False,FR_Mistake_Civil,FR_Insufficient_Evidence,FR_Abated,Total_Final_Reports,Chargesheet_Prev_Year,Chargesheet_Current_Year,Total_Chargesheets,Total_Disposed,Quashed,Stayed,Pending_End_Year,Chargesheet_Rate,Pendency_Rate,Audit_Total,Disposal Efficiency ratio,False complaint Rate,Justice Gap
1,Murder with Rape/Gang Rape,160,219,0,379,0,1,0,0,0,5,12,1,18,39,136,175,194,0,0,185,90.2,48.8,FALSE,0.511873350923483,0,25
2,Dowry Deaths,3452,6966,3,10421,0,7,0,10,218,170,250,6,654,1720,4389,6109,6770,0,0,3651,90.2,35,FALSE,0.649649745705786,0.333333333333333,196
3,Abetment to Suicide of Women,3120,5040,14,8174,1,7,1,1,164,91,123,22,401,1331,2858,4189,4598,6,3,3569,91.1,43.7,FALSE,0.562515292390507,0.408977556109726,442
4,Miscarriage,130,239,1,370,0,0,0,0,7,7,100,0,114,19,85,104,218,0,1,152,47.7,41.1,FALSE,0.589189189189189,0.0614035087719298,21
5,Acid Attack,58,105,0,163,0,0,0,0,6,1,7,1,15,23,68,91,106,0,0,57,85.8,35,FALSE,0.650306748466258,0.4,-1
6,Attempt to Acid Attack,31,33,0,64,0,0,0,0,1,0,4,0,5,7,17,24,29,1,0,34,82.8,53.1,FALSE,0.453125,0.2,4
7,Cruelty by Husband or his relatives,55499,111549,19,167067,1,143,3,122,5520,4832,5489,188,16151,29367,66786,96153,112448,174,99,54442,85.5,32.6,FALSE,0.673071282778765,0.341774503126741,-899
8,Kidnapping and Abduction of Women,51843,62300,21,114164,0,28,8,162,9247,18878,9377,233,37897,7938,15872,23810,61735,43,35,52378,38.6,45.9,FALSE,0.540757156371536,0.244003483125313,565
8.1,Kidnapping and Abduction,21777,28787,3,50567,0,22,6,23,4406,12671,3479,161,20740,2543,5739,8282,29044,31,5,21486,28.5,42.5,FALSE,0.57436668182807,0.212439729990357,-257
8.2,Kidnapping and Abduction in order to Murder,162,78,0,240,0,0,0,0,4,15,43,0,62,33,29,62,124,0,0,116,50,48.3,FALSE,0.516666666666667,0.0645161290322581,-46
8.3,Kidnapping for Ransom,109,58,0,167,0,0,0,0,3,12,12,0,27,28,28,56,83,1,0,83,67.5,49.7,FALSE,0.497005988023952,0.111111111111111,-25
8.4,Kidnapping and Abduction of Women to compel her for marriage,22039,24745,11,46795,0,3,1,139,3109,4301,5006,48,12603,4167,7701,11868,24474,7,29,22313,48.5,47.7,FALSE,0.52300459450796,0.246687296675395,271
8.4.1,Women,12777,13641,4,26422,0,2,0,137,1777,2206,3021,43,7184,2068,3878,5946,13132,4,13,13286,45.3,50.3,FALSE,0.497010067368102,0.247355233853007,509
8.4.2,Girls,9262,11104,7,20373,0,1,1,2,1332,2095,1985,5,5419,2099,3823,5922,11342,3,16,9027,52.2,44.3,FALSE,0.556717223776567,0.245801808451744,-238
8.5,Procuration of Minor Girls,2881,2471,1,5353,0,1,0,0,627,277,327,9,1240,478,703,1181,2422,0,0,2931,48.8,54.8,FALSE,0.452456566411358,0.505645161290323,49
8.6,Importation of Girls from Foreign Country,11,1,0,12,0,0,0,0,0,4,0,0,4,4,0,4,8,0,0,4,50,33.3,FALSE,0.666666666666667,0,-7
8.7,Kidnapping and Abduction of Women â€“ Others,4864,6160,6,11030,0,2,1,0,1098,1598,510,15,3221,685,1672,2357,5580,4,1,5445,42.2,49.4,FALSE,0.505893019038985,0.340887923005278,580
9,Human Trafficking,724,646,2,1372,0,3,0,0,9,31,23,7,70,325,315,640,713,0,0,659,89.8,48,FALSE,0.519679300291545,0.128571428571429,-67
10,Selling of Minor Girls,75,12,0,87,0,0,0,0,1,1,0,0,2,8,5,13,15,0,0,72,86.7,82.8,FALSE,0.172413793103448,0.5,-3
11,Buying of Minor Girls,25,1,0,26,0,0,0,0,0,2,0,0,2,6,1,7,9,0,0,17,77.8,65.4,FALSE,0.346153846153846,0,-8
12,Rape,15097,28046,53,43196,0,100,2,48,3375,571,987,34,5015,7161,16532,23693,28808,38,34,14348,82.2,33.2,FALSE,0.666913603111399,0.672981056829512,-762
12.1,Women,12296,25406,53,37755,0,95,2,48,3050,510,935,32,4575,5658,14821,20479,25149,37,34,12567,81.4,33.3,FALSE,0.666110448947159,0.666666666666667,257
12.2,Girls,2801,2640,0,5441,0,5,0,0,325,61,52,2,440,1503,1711,3214,3659,1,0,1781,87.8,32.7,FALSE,0.672486675243522,0.738636363636364,-1019
13,Attempt to Commit Rape,1796,3741,1,5538,0,3,0,6,631,90,212,6,945,816,1980,2796,3744,0,2,1794,74.7,32.4,FALSE,0.676056338028169,0.667724867724868,-3
13.1,Women,1556,3446,0,5002,0,3,0,6,595,87,192,3,883,732,1802,2534,3420,0,1,1582,74.1,31.6,FALSE,0.683726509396242,0.673839184597962,26
13.2,Girls,240,295,1,536,0,0,0,0,36,3,20,3,62,84,178,262,324,0,1,212,80.9,39.6,FALSE,0.604477611940299,0.580645161290323,-29
14,Assault on Women with Intent to Outrage her Modesty,35294,85392,14,120700,0,38,1,253,5821,2317,3848,187,12426,20026,53584,73610,86074,38,39,34587,85.5,28.7,FALSE,0.713123446561723,0.468453243199742,-682
14.1,Women,33523,81282,9,114814,0,38,1,251,5502,2249,3678,162,11842,19061,51003,70064,81944,36,38,32833,85.5,28.6,FALSE,0.713710871496507,0.46461746326634,-662
14.2,Girls,1771,4110,5,5886,0,0,0,2,319,68,170,25,584,965,2581,3546,4130,2,1,1754,85.9,29.8,FALSE,0.701664967720014,0.546232876712329,-20
15,Insult to the Modesty of Women,4489,7065,9,11563,0,1,0,5,314,134,306,18,777,1815,3784,5599,6377,1,5,5185,87.8,44.8,FALSE,0.551500475655107,0.404118404118404,688
15.1,Women,4369,6933,9,11311,0,1,0,5,306,119,299,18,747,1781,3703,5484,6232,1,5,5078,88,44.9,FALSE,0.550968084165856,0.409638554216867,701
15.2,Girls,120,132,0,252,0,0,0,0,8,15,7,0,30,34,81,115,145,0,0,107,79.3,42.5,FALSE,0.575396825396825,0.266666666666667,-13
